wtime:1.000000e+00 tau:2 freeze:0 score:34.000000000000 fmean:71.440000000000 fmax:118.000000000000 L:0 kounter:300 cost:34.000000000000 p[0]:-3.154433756423 p[1]:-1.717749190294 p[2]:-3.142178893736 p[3]:-0.232090739288 p[4]:-0.286477167549 p[5]:-0.460177714523 p[6]:-1.610376451054 p[7]:-0.141858797367 p[8]:-2.336836260352 p[9]:-2.048117882284
wtime:-1.431878e+02 tau:2 freeze:0 score:29.000000000000 fmean:69.780000000000 fmax:133.000000000000 L:0 kounter:200 cost:29.000000000000 p[0]:-3.431130462000 p[1]:-0.054193050000 p[2]:-2.471089975000 p[3]:-0.932360682388 p[4]:-1.116949202000 p[5]:-2.949801168080 p[6]:-2.279260475985 p[7]:-0.151647417912 p[8]:-0.068539024862 p[9]:-1.104575854491
wtime:-1.421878e+02 tau:2 freeze:0 score:24.000000000000 fmean:73.790000000000 fmax:138.000000000000 L:0 kounter:200 cost:24.000000000000 p[0]:-1.425816726169 p[1]:-2.121262587000 p[2]:-3.573915248000 p[3]:-0.100803543000 p[4]:-0.280553144680 p[5]:-1.468316057404 p[6]:-0.240320143949 p[7]:-0.955566053505 p[8]:-0.295896153085 p[9]:-1.122619562271
wtime:-1.401878e+02 tau:2 freeze:0 score:32.000000000000 fmean:63.150000000000 fmax:123.000000000000 L:0 kounter:200 cost:32.000000000000 p[0]:-2.838092042000 p[1]:-0.848606967148 p[2]:-0.546463270000 p[3]:-4.442653940727 p[4]:-0.549279171000 p[5]:-1.107520440000 p[6]:-0.735996815288 p[7]:-0.782170468901 p[8]:-1.163990047368 p[9]:-0.263012911783
wtime:-1.391878e+02 tau:2 freeze:0 score:32.000000000000 fmean:63.150000000000 fmax:123.000000000000 L:0 kounter:200 cost:32.000000000000 p[0]:-2.838092042000 p[1]:-0.848606967148 p[2]:-0.546463270000 p[3]:-4.442653940727 p[4]:-0.549279171000 p[5]:-1.107520440000 p[6]:-0.735996815288 p[7]:-0.782170468901 p[8]:-1.163990047368 p[9]:-0.263012911783
wtime:-1.381878e+02 tau:2 freeze:0 score:34.000000000000 fmean:74.830000000000 fmax:133.000000000000 L:0 kounter:200 cost:34.000000000000 p[0]:-3.154433756000 p[1]:-1.717749190000 p[2]:-3.142178894000 p[3]:-0.232090739000 p[4]:-0.286477168000 p[5]:-0.460177715000 p[6]:-1.610376451000 p[7]:-0.141858797000 p[8]:-2.336836260000 p[9]:-2.048117882000
wtime:-1.371878e+02 tau:2 freeze:0 score:20.000000000000 fmean:69.810000000000 fmax:133.000000000000 L:0 kounter:100 cost:20.000000000000 p[0]:-1.999379093000 p[1]:-1.373194004440 p[2]:-0.017425503700 p[3]:-1.854448982472 p[4]:-1.258904081244 p[5]:-1.774743111446 p[6]:-1.459965338835 p[7]:-0.424193111029 p[8]:-0.818020875151 p[9]:-2.082277006416
wtime:-1.351878e+02 tau:2 freeze:0 score:27.000000000000 fmean:59.290000000000 fmax:106.000000000000 L:0 kounter:200 cost:27.000000000000 p[0]:-2.236370162715 p[1]:-2.317975403352 p[2]:-2.322102538000 p[3]:-0.068221388461 p[4]:-1.322310593276 p[5]:-1.206213427070 p[6]:-2.019971975105 p[7]:-1.819936712918 p[8]:-2.405948018000 p[9]:-0.806625649625
wtime:-1.341878e+02 tau:2 freeze:0 score:29.000000000000 fmean:69.870000000000 fmax:133.000000000000 L:0 kounter:200 cost:29.000000000000 p[0]:-3.431130462000 p[1]:-0.054193050000 p[2]:-2.471089975000 p[3]:-0.932360682388 p[4]:-1.116949202000 p[5]:-2.949801168080 p[6]:-2.279260475985 p[7]:-0.151647417912 p[8]:-0.068539024862 p[9]:-1.104575854491
wtime:-1.321878e+02 tau:2 freeze:0 score:34.000000000000 fmean:73.820000000000 fmax:133.000000000000 L:0 kounter:200 cost:34.000000000000 p[0]:-1.880971836000 p[1]:-0.609924041000 p[2]:-0.637248227000 p[3]:-2.550024830000 p[4]:-2.802195655000 p[5]:-1.713130267000 p[6]:-0.645934276000 p[7]:-0.176628991398 p[8]:-2.388505389000 p[9]:-1.241151933000
wtime:-1.311878e+02 tau:2 freeze:0 score:20.000000000000 fmean:63.850000000000 fmax:107.000000000000 L:0 kounter:200 cost:20.000000000000 p[0]:-0.126373250655 p[1]:-1.564719839553 p[2]:-2.533765170583 p[3]:-0.204420122000 p[4]:-0.549279171000 p[5]:-2.110939948751 p[6]:-0.067782315546 p[7]:-0.908313415432 p[8]:-1.391425621905 p[9]:-0.179346390938
